athlete_id,athlete_display_name,team,pos,headshot,gp,min_pg,pts_pg,reb_pg,ast_pg,bpm,impact
4278580.0,Sandro Mamukelashvili,LAL,F,https://a.espncdn.com/i/headshots/nba/players/full/4278580.png,80,21.9,11.16,4.94,1.89,0.74,0.34
3102531.0,Kristaps Porzingis,ATL,C,https://a.espncdn.com/i/headshots/nba/players/full/3102531.png,32,24.06,16.66,5.22,2.53,0.73,0.37
4278572.0,Jamal Cain,ORL,F,https://a.espncdn.com/i/headshots/nba/players/full/4278572.png,37,13.05,5.81,2.11,0.78,0.72,0.2
4278049.0,Daniel Gafford,DAL,F,https://a.espncdn.com/i/headshots/nba/players/full/4278049.png,55,21.67,9.53,6.87,1.05,0.7,0.32
3149673.0,Pascal Siakam,IND,F,https://a.espncdn.com/i/headshots/nba/players/full/3149673.png,64,32.44,23.36,6.48,3.72,0.7,0.47
4431680.0,Onyeka Okongwu,ATL,F,https://a.espncdn.com/i/headshots/nba/players/full/4431680.png,74,31.08,15.18,7.59,3.12,0.7,0.45
4395625.0,RJ Barrett,TOR,F,https://a.espncdn.com/i/headshots/nba/players/full/4395625.png,57,30.25,19.26,5.26,3.32,0.67,0.42
5203685.0,Khaman Maluach,PHX,C,https://a.espncdn.com/i/headshots/nba/players/full/5203685.png,46,8.91,3.02,2.89,0.13,0.64,0.12
3133626.0,Kenrich Williams,OKC,G,https://a.espncdn.com/i/headshots/nba/players/full/3133626.png,56,15.25,6.48,3.34,1.41,0.61,0.19
4065804.0,Sam Hauser,BOS,F,https://a.espncdn.com/i/headshots/nba/players/full/4065804.png,78,24.78,9.22,3.85,1.46,0.6,0.31
5105977.0,Rasheer Fleming,PHX,F,https://a.espncdn.com/i/headshots/nba/players/full/5105977.png,55,12.31,4.33,2.25,0.29,0.59,0.15
2326307.0,Seth Curry,GSW,G,https://a.espncdn.com/i/headshots/nba/players/full/2326307.png,10,13.2,7.1,1.2,1.0,0.59,0.16
4433623.0,Caleb Houstan,ATL,G,https://a.espncdn.com/i/headshots/nba/players/full/4433623.png,18,4.17,2.33,0.61,0.22,0.58,0.05
4593016.0,Quinten Post,MEM,C,https://a.espncdn.com/i/headshots/nba/players/full/4593016.png,67,17.33,7.66,4.01,1.4,0.54,0.19
4592479.0,Julian Champagnie,SAS,F,https://a.espncdn.com/i/headshots/nba/players/full/4592479.png,83,27.61,11.01,5.72,1.54,0.54,0.31
3913176.0,Brandon Ingram,LAC,F,https://a.espncdn.com/i/headshots/nba/players/full/3913176.png,79,33.05,20.95,5.48,3.61,0.5,0.34
4397136.0,Saddiq Bey,NOP,G,https://a.espncdn.com/i/headshots/nba/players/full/4397136.png,72,31.19,17.65,5.56,2.53,0.5,0.32
4395630.0,Devin Vassell,SAS,G,https://a.espncdn.com/i/headshots/nba/players/full/4395630.png,68,30.56,13.88,4.03,2.5,0.5,0.32
4395651.0,Coby White,CHI,G,https://a.espncdn.com/i/headshots/nba/players/full/4395651.png,50,24.98,17.36,3.4,4.0,0.49,0.26
4397882.0,Tolu Smith,DET,F,https://a.espncdn.com/i/headshots/nba/players/full/4397882.png,15,9.13,3.73,3.27,0.87,0.46,0.09
4592492.0,Bones Hyland,MIN,G,https://a.espncdn.com/i/headshots/nba/players/full/4592492.png,70,16.84,8.63,1.81,2.69,0.43,0.15
4601023.0,Oso Ighodaro,PHX,F,https://a.espncdn.com/i/headshots/nba/players/full/4601023.png,82,22.07,6.48,5.1,2.26,0.42,0.19
